TRANSACTION_ID,TX_DATETIME,CUSTOMER_ID,TERMINAL_ID,TX_AMOUNT,TX_TIME_SECONDS,TX_TIME_DAYS,TX_FRAUD,TX_FRAUD_SCENARIO,TX_DURING_WEEKEND,TX_DURING_NIGHT
0,2023-11-18 00:07:56,2,316,146.0,476,0,1,1,1,1
1,2023-11-18 00:30:05,360,584,92.74,1805,0,0,0,1,1
2,2023-11-18 00:32:35,183,992,39.3,1955,0,0,0,1,1
3,2023-11-18 00:43:59,382,283,15.35,2639,0,0,0,1,1
4,2023-11-18 00:45:51,381,799,23.15,2751,0,0,0,1,1
5,2023-11-18 00:57:25,426,398,82.58,3445,0,0,0,1,1
6,2023-11-18 01:11:00,8,117,2.08,4260,0,0,0,1,1
7,2023-11-18 01:25:06,447,219,91.8,5106,0,0,0,1,1
8,2023-11-18 01:26:30,408,878,23.41,5190,0,0,0,1,1
9,2023-11-18 01:38:25,230,689,18.93,5905,0,0,0,1,1
10,2023-11-18 01:55:28,474,18,10.67,6928,0,0,0,1,1
11,2023-11-18 01:56:23,398,724,8.8,6983,0,0,0,1,1
12,2023-11-18 01:56:44,55,81,35.06,7004,0,0,0,1,1
13,2023-11-18 01:59:15,159,470,54.22,7155,0,0,0,1,1
14,2023-11-18 02:13:54,354,416,22.84,8034,0,0,0,1,1
15,2023-11-18 02:17:26,220,828,110.42,8246,0,0,0,1,1
16,2023-11-18 02:20:28,423,517,30.29,8428,0,0,0,1,1
17,2023-11-18 02:22:02,447,649,94.1,8522,0,0,0,1,1
18,2023-11-18 02:24:40,30,642,171.78,8680,0,1,1,1,1
19,2023-11-18 02:27:04,340,587,31.55,8824,0,0,0,1,1
20,2023-11-18 02:28:17,270,959,10.78,8897,0,0,0,1,1
21,2023-11-18 02:28:17,497,539,28.96,8897,0,0,0,1,1
22,2023-11-18 02:30:00,358,319,74.36,9000,0,0,0,1,1
23,2023-11-18 02:33:41,177,694,24.14,9221,0,0,0,1,1
24,2023-11-18 02:35:44,286,581,19.79,9344,0,0,0,1,1
25,2023-11-18 02:35:58,340,837,10.24,9358,0,0,0,1,1
26,2023-11-18 02:36:35,139,825,119.38,9395,0,0,0,1,1
27,2023-11-18 02:37:22,204,966,73.44,9442,0,0,0,1,1
28,2023-11-18 02:43:34,59,379,40.21,9814,0,0,0,1,1
29,2023-11-18 02:47:11,128,871,96.68,10031,0,0,0,1,1
30,2023-11-18 02:55:03,458,540,6.45,10503,0,0,0,1,1
31,2023-11-18 02:57:37,418,754,175.25,10657,0,1,1,1,1
32,2023-11-18 03:00:01,53,411,2.32,10801,0,0,0,1,1
33,2023-11-18 03:07:18,36,175,12.36,11238,0,0,0,1,1
34,2023-11-18 03:12:11,77,872,87.99,11531,0,0,0,1,1
